Test,Verdict,Category,Hardware Type,Execution Method,What it does,Why it matters,Expected outcome,Pass/fail criteria,Why (pass/fail),Workspace,Evidence (link)
GPU burn — single node,PASS,Hardware,H100,AIR CLI,Sustained full-load compute on a node; reads temp/power/ECC/throttle,Faults surface under load; undetected ECC silently corrupts training,"All GPUs high throughput, 0 ECC, 0 throttle, safe temp",0 uncorrectable ECC AND 0 throttle per GPU,"8xH100: 641-774 TFLOPS/GPU, 0 throttle, 0 ECC, <=81C",mkazia-lw2 (reserved pool),MLflow experiment air-lab-gpu-burn
GPU burn — 20-node pool (160 GPUs),PASS,Hardware,H100,AIR CLI,Burn on all 20 nodes at once (whole pool),Proves entire delivered pool is healthy + fully schedulable,20/20 pass; 160 distinct GPUs; 0 ECC/throttle,"20/20 SUCCESS, 160 distinct UUIDs, 0 throttle, 0 ECC","20/20 nodes covered; 160 distinct GPU UUIDs, 0 throttle, 0 ECC; all 20 admitted concurrently post quota raise",mkazia-lw2 (reserved pool),MLflow experiment air-lab-gpu-burn; experiments/node-acceptance/NOTES.md
GPU smoke (notebook),PASS,Hardware,"A10, H100",NOTEBOOK,Fast GPU visibility/identity/benchmark/health,First 'is the GPU usable' signal on any new workspace,"GPU detected, count matches shape, bench OK, health readable",GPU visible + matmul above bar + NVML healthy,"GPU visible, matmul above threshold, NVML healthy",mkazia-lw2 (reserved pool),DRIVER aggregated matrix
All-reduce — single node (NVLink),PASS,Communication,H100,AIR CLI,Measures 8-GPU intra-node exchange over NVLink,Slow sync = idle GPUs; intra-node ceiling,Completes; high-hundreds GB/s,Collective completes; bandwidth in expected range,Peak 402 GB/s at 512MB — healthy for H100 NVLink,mkazia-lw2 (reserved pool),run 439256933446465
All-reduce — multi-node (2->20 nodes),PASS,Communication,H100,AIR CLI,"Same measurement across nodes over EFA fabric, scaled",Large models span nodes; network is the bottleneck,Completes at each scale; graceful bandwidth decline,Completes; bandwidth does not collapse as nodes grow,341 (2n) -> 180 (12n) -> 154 (20n) GB/s — expected smooth decline,mkazia-lw2 (reserved pool),run 508579949022428
Distributed correctness (16/96/160 GPUs),PASS,Correctness,H100,AIR CLI,Distributed compute vs pre-registered exact checksum + gradient parity,"Distributed training must be correct, not just fast",Checksum bit-exact; gradient diff ~1e-15,Pre-registered checksum matches AND grad parity ~1e-15,Checksums 3093/11081/16036 matched exactly; grad parity 1e-15 to 2e-15,mkazia-lw2 (reserved pool),run 731095337540523
Pool saturation & scheduling,PASS,Scale/Scheduling,H100,AIR CLI,Submit jobs up to filling the pool; measure admission/latency,Shared pool needs predictable starts + full capacity,Prompt scheduling; full node count admitted,"All nodes admitted, no failures, prompt start","All 20 nodes admitted concurrently, zero refusals, scheduled in seconds",mkazia-lw2 (reserved pool),MLflow experiment air-lab-gpu-burn (saturation batch)
Overflow behavior,PASS,Scale/Scheduling,H100,AIR CLI,Deliberately request more GPUs than the pool has,"Over-ask must fail clearly, not silently reroute (compliance)",Fast explicit quota error; no cross-region fallback,"Clear capacity error, no silent fallback",Over-quota request failed fast with explicit 'exceeded GPU quota' — no silent fallback,mkazia-lw2 (reserved pool),run 420590591273867
Placement & isolation (co-tenancy),PASS (dry-run),Scale/Scheduling,A10 (dry) -> H100,AIR CLI,Concurrent probes fingerprint their nodes to show whether jobs share hardware and how single-GPU submits are scoped,Co-tenancy and GPU-granular scheduling determine isolation guarantees a regulated customer must document,Concurrent jobs land on separate nodes (or documented sharing); GPU visibility scoped exactly to the request,Distinct boot_ids for concurrent submits; visible GPU set == requested,"A10 dry-run receipts: separate nodes for concurrent submits, exact GPU scoping; boot_id is the reliable node discriminator. H100/pool variant pending",mkazia-lw2 (reserved pool),experiments/node-acceptance/NOTES.md (placement receipts)
Unity Catalog read/write,PASS (1 gap),"Environment, Correctness",H100,NOTEBOOK,GPU job reads/writes governed storage (UC tables + Volumes) bit-for-bit intact,The governed data-in / model-out loop real training depends on,Successful and correct read/write between UC and H100 node,"SUCCESS, bit-exact round-trip",Works; one env-setup error under a UDF path (ENVIRONMENT_SETUP_ERROR) logged as the gap,mkazia-lw2 (reserved pool),(workspace notebook)
Environment diagnostics,PASS,Environment,H100,NOTEBOOK + AIR CLI,"Verify logs stream, artifacts upload, GPU libs, env vars",Broken env masks real failures; must trust platform signals,Logs/artifacts deliver fast; GPU stack present,Artifact upload fast; logs stream; stack present,Artifact upload 0.4s + logs stream on v5 (v4 stalled ~60s); CUDA 12.9 toolkit + NCCL on image,mkazia-lw2 (reserved pool),MLflow experiment air-lab-env-diagnostics
Runtime contract / language,PASS,Environment,A10,AIR CLI,"Inspect OS, Java, compilers, filesystem, outbound access",Non-Python/compiled workloads need to know what's available,Expected OS/toolchain; filesystem usable,OS/toolchain present; snapshot exec-able,"Ubuntu 24.04, Java 17, gcc 13.3, exec snapshot (public mirrors blocked = expected)",mkazia-lw2 (reserved pool),run 31073134286044
"XGBoost on 1xA10, 1xH100, 8xH100",PASS (1 gap),Workload,"H100, A10",NOTEBOOK,"GPU XGBoost on 1xA10, 1xH100, 8xH100",Classic ML workhorse; known H100 hang report to re-check,Trains to completion,SUCCESS (not TIMEDOUT/hang),1xH100 hangs (known issue) — tracked for escalation,mkazia-lw2 (reserved pool),(workspace notebooks)
Billing & attribution,BLOCKED,Cost visibility,,SQL warehouse,Query billing system tables to trace GPU spend to jobs/owners,Shared pools need chargeback; must trace a dollar to a team,Usage in billing; jobs carry joinable owner id,AIR usage present; job_id present + joinable,Job path attributable via lakeflow.jobs; reserved-pool line lacks per-team tag,mkazia-lw2 (reserved pool),system tables via workspace warehouse (query output receipt)
